дата,товар,категорія,постачальник,покупець,кількість,закупівельна_ціна,ціна_продажу
2026-01-05,Тент 3x5,Тенти,Постачальник А,Клієнт 01,20,7.80,12.50
2026-01-06,Армована плівка 6x10,Плівки,Постачальник Б,Клієнт 02,10,18.40,29.90
2026-01-07,Герметик 310 мл,Герметики,Постачальник В,Клієнт 03,48,4.30,7.20
2026-01-09,Тент 4x6,Тенти,Постачальник А,Клієнт 04,15,11.20,17.90
2026-01-11,Армована плівка 4x5,Плівки,Постачальник Б,Клієнт 01,18,10.60,17.50
2026-01-12,Пакувальна стрічка 48 мм,Пакування,Постачальник Г,Клієнт 05,120,0.72,1.25
2026-01-14,Стретч-плівка 2 кг,Пакування,Постачальник Г,Клієнт 06,40,3.90,6.20
2026-01-16,Тент 5x8,Тенти,Постачальник А,Клієнт 02,8,18.50,28.90
2026-01-18,Армована плівка 6x10 UV,Плівки,Постачальник Б,Клієнт 07,12,21.40,34.90
2026-01-20,Герметик 310 мл,Герметики,Постачальник В,Клієнт 04,24,4.35,7.10
2026-01-22,Пакувальна стрічка 48 мм,Пакування,Постачальник Г,Клієнт 08,200,0.69,1.18
2026-01-25,Стретч-плівка 2 кг,Пакування,Постачальник Г,Клієнт 03,60,3.85,5.95
2026-02-02,Тент 3x5,Тенти,Постачальник А,Клієнт 05,25,7.70,12.30
2026-02-04,Армована плівка 6x10,Плівки,Постачальник Б,Клієнт 06,14,18.10,29.50
2026-02-06,Герметик 310 мл,Герметики,Постачальник В,Клієнт 09,36,4.25,7.00
2026-02-08,Тент 4x6,Тенти,Постачальник А,Клієнт 01,20,11.00,17.50
2026-02-10,Армована плівка 4x5,Плівки,Постачальник Б,Клієнт 04,22,10.40,17.20
2026-02-12,Пакувальна стрічка 48 мм,Пакування,Постачальник Г,Клієнт 02,150,0.70,1.20
2026-02-15,Стретч-плівка 2 кг,Пакування,Постачальник Г,Клієнт 07,50,3.80,6.00
2026-02-18,Тент 5x8,Тенти,Постачальник А,Клієнт 10,10,18.20,28.50
2026-02-20,Армована плівка 6x10 UV,Плівки,Постачальник Б,Клієнт 03,16,21.10,34.50
2026-02-23,Герметик 310 мл,Герметики,Постачальник В,Клієнт 06,60,4.20,6.95
2026-03-01,Пакувальна стрічка 48 мм,Пакування,Постачальник Г,Клієнт 04,180,0.68,1.15
2026-03-03,Тент 3x5,Тенти,Постачальник А,Клієнт 07,30,7.60,12.10
2026-03-05,Армована плівка 6x10,Плівки,Постачальник Б,Клієнт 08,20,18.00,29.20
2026-03-07,Стретч-плівка 2 кг,Пакування,Постачальник Г,Клієнт 09,70,3.75,5.90
2026-03-10,Тент 4x6,Тенти,Постачальник А,Клієнт 03,18,10.90,17.30
2026-03-12,Армована плівка 4x5,Плівки,Постачальник Б,Клієнт 05,25,10.30,17.00
2026-03-15,Герметик 310 мл,Герметики,Постачальник В,Клієнт 02,48,4.15,6.85
2026-03-18,Тент 5x8,Тенти,Постачальник А,Клієнт 06,12,18.00,28.20
2026-03-20,Армована плівка 6x10 UV,Плівки,Постачальник Б,Клієнт 10,18,20.90,34.20
2026-03-22,Пакувальна стрічка 48 мм,Пакування,Постачальник Г,Клієнт 01,240,0.67,1.12
2026-03-25,Стретч-плівка 2 кг,Пакування,Постачальник Г,Клієнт 04,80,3.70,5.80
2026-03-27,Тент 3x5,Тенти,Постачальник А,Клієнт 09,35,7.50,11.90
2026-03-29,Армована плівка 6x10,Плівки,Постачальник Б,Клієнт 03,24,17.90,28.90
2026-03-31,Герметик 310 мл,Герметики,Постачальник В,Клієнт 08,72,4.10,6.80
2026-04-02,Тестовий товар з низькою маржею,Тести,Постачальник Д,Клієнт 11,100,9.00,10.20
2026-04-04,Тестовий товар А,Тести,Постачальник Е,Клієнт VIP,250,5.00,12.00
2026-04-06,Тестовий товар Б,Тести,Постачальник Е,Клієнт VIP,300,6.00,13.00
2026-04-08,Тестовий товар В,Тести,Постачальник Е,Клієнт VIP,250,7.00,14.00
