покупець,операції,кількість,виручка,собівартість,валовий_прибуток,маржа_%,націнка_%
Клієнт 03,5,166,2259.6,1400.8,858.8,38.01,61.31
Клієнт 04,5,321,1488.3,919.6,568.7,38.21,61.84
Клієнт 06,4,126,1416.4,877.4,539.0,38.05,61.43
Клієнт 08,3,292,1309.6,793.2,516.4,39.43,65.1
Клієнт 01,4,298,1183.8,727.6,456.2,38.54,62.7
Клієнт 07,3,92,1081.8,674.8,407.0,37.62,60.31
Клієнт 09,3,141,1081.5,678.0,403.5,37.31,59.51
Клієнт 02,4,216,1039.0,636.2,402.8,38.77,63.31
Клієнт 10,2,28,900.6,558.2,342.4,38.02,61.34
Клієнт 05,3,170,882.5,536.4,346.1,39.22,64.52
