товар,операції,кількість,виручка,собівартість,валовий_прибуток,маржа_%,націнка_%
Тестовий товар Б,1,300,3900.0,1800.0,2100.0,53.85,116.67
Тестовий товар В,1,250,3500.0,1750.0,1750.0,50.0,100.0
Тестовий товар А,1,250,3000.0,1250.0,1750.0,58.33,140.0
Герметик 310 мл,6,288,2003.4,1210.2,793.2,39.59,65.54
Армована плівка 6x10,4,68,1989.6,1227.0,762.6,38.33,62.15
Стретч-плівка 2 кг,5,300,1782.0,1135.5,646.5,36.28,56.94
Армована плівка 6x10 UV,3,46,1586.4,970.6,615.8,38.82,63.45
Тент 3x5,4,110,1337.0,839.0,498.0,37.25,59.36
Армована плівка 4x5,3,65,1118.4,677.1,441.3,39.46,65.18
Пакувальна стрічка 48 мм,5,890,1041.8,612.6,429.2,41.2,70.06
Тестовий товар з низькою маржею,1,100,1020.0,900.0,120.0,11.76,13.33
Тент 4x6,3,53,929.9,584.2,345.7,37.18,59.17
Тент 5x8,3,30,854.6,546.0,308.6,36.11,56.52
