артикул,назва,категорія,ціна,валюта,залишок,статус,штрихкод
PF-001,Тент універсальний 3x5 м,Тенти,1299.90,UAH,24,активний,4820000000011
pf-002,Плівка армована 4x5 м,Плівки,899.50,UAH,18,в продажу,4820000000028
PF-003,Стрічка пакувальна 48 мм,Пакування,79.90,UAH,150,active,4820000000035
PF-004,Герметик універсальний 310 мл,Герметики,189.00,UAH,8,неактивний,4820000000042
PF-005,Набір викруток 6 шт,Інструменти,459.00,UAH,0,активний,4820000000059
PF-006,Плівка захисна 4x12 м,Плівки,349.90,UAH,12,активний,4820000000066
,Тент господарський 2x3 м,Тенти,699.00,UAH,10,активний,4820000000073
PF-007,Тент посилений 4x6 м,Тенти,1799.00,UAH,7,активний,4820000000080
 pf-007 ,Тент посилений 4x6 м синій,Будівельні тенти,1849.00,UAH,5,активний,4820000000097
PF-008,Плівка теплична 6 м,Плівки,,UAH,14,активний,4820000000103
PF-009,Ніж монтажний 18 мм,Інструменти,0,UAH,30,активний,4820000000110
PF-010,Герметик акриловий 280 мл,Герметики,-125.50,UAH,16,активний,4820000000127
PF-011,Стретч-плівка 2 кг,Пакування,329.00,UAH,,активний,4820000000134
PF-012,Рукавички робочі,Інструменти,85.00,UAH,-4,активний,4820000000141
PF-013,Клей монтажний 300 мл,Клеї,215.00,UAH,20,активний,4820000000158
PF-014,Тент туристичний 3x4 м,Тенти,1099.00,UAH,6,очікує,4820000000165
PF-015,,Пакування,45.50,UAH,70,активний,4820000000172
PF-016,Плівка мульчувальна,Плівки,12x.50,UAH,40,активний,4820000000189
PF-017,Набір шестигранників,Інструменти,299.00,USD,11,активний,4820000000196
PF-018,Стрічка малярна 48 мм,Пакування,"94,75",UAH,45,активний,4820000000202
