source_row,sku,error_code,error_field,error_value,error_message
8,,MISSING_SKU,артикул,,SKU є обов'язковим.
9,PF-007,DUPLICATE_SKU,артикул,PF-007,SKU дублюється після нормалізації; усі конфліктні рядки відхилено.
10,PF-007,DUPLICATE_SKU,артикул,pf-007,SKU дублюється після нормалізації; усі конфліктні рядки відхилено.
11,PF-008,MISSING_PRICE,ціна,,Ціна є обов'язковою.
12,PF-009,ZERO_PRICE,ціна,0,Ціна має бути більшою за нуль.
13,PF-010,NEGATIVE_PRICE,ціна,-125.50,Ціна не може бути від'ємною.
14,PF-011,MISSING_STOCK,залишок,,Залишок є обов'язковим; нуль дозволено.
15,PF-012,NEGATIVE_STOCK,залишок,-4,Залишок не може бути від'ємним.
16,PF-013,UNKNOWN_CATEGORY,категорія,Клеї,Категорія відсутня у файлі зіставлення.
17,PF-014,INVALID_STATUS,статус,очікує,Статус не входить до переліку підтримуваних значень.
18,PF-015,MISSING_PRODUCT_NAME,назва,,Назва товару є обов'язковою.
19,PF-016,INVALID_NUMBER,ціна,12x.50,Ціна має бути коректним числом.
20,PF-017,UNSUPPORTED_CURRENCY,валюта,USD,Версія v1 підтримує лише валюту UAH.
